 Clave Zona Metropolitana , Nombre Zona Metropolitana ,   PM10 ,   PM2.5 ,   SO2 ,   CO ,   NOX ,   COV ,   NH3 
01.01,Aguascalientes," 5,725 "," 3,558 ", 943 ," 159,740 "," 37,253 "," 47,201 "," 20,397 "
02.01,Ensenada," 4,707 "," 2,457 ", 475 ," 42,267 "," 9,157 "," 14,293 "," 1,446 "
02.02,Mexicali," 11,900 "," 5,207 "," 1,355 "," 77,630 "," 24,134 "," 29,250 "," 3,771 "
02.03,Tijuana," 4,299 "," 3,327 ", 777 ," 108,618 "," 36,555 "," 56,887 "," 2,770 "
03.01,La Paz," 3,283 "," 1,672 "," 28,182 "," 47,416 "," 29,261 "," 11,741 ", 620 
04.01,Campeche," 3,164 "," 2,310 "," 105,251 "," 41,100 "," 10,451 "," 16,719 "," 2,788 "
05.01,La Laguna," 6,587 "," 5,154 "," 23,588 "," 93,242 "," 30,381 "," 48,264 "," 25,048 "
05.02,Monclova-Frontera," 15,013 "," 9,972 "," 6,865 "," 90,137 "," 32,710 "," 16,635 ", 924 
05.03,Piedras Negras," 9,224 "," 5,901 "," 202,430 "," 16,816 "," 45,232 "," 8,330 ", 331 
05.04,Saltillo," 4,838 "," 3,672 ", 265 ," 64,228 "," 20,167 "," 32,394 "," 1,575 "
06.01,Colima-Villa de Álvarez," 5,226 "," 3,448 "," 1,101 "," 49,370 "," 11,819 "," 50,340 "," 2,928 "
06.02,Tecomán, 879 , 591 , 571 ," 18,134 "," 5,776 "," 22,785 ", 965 
07.01,Tapachula," 1,057 ", 843 , 793 ," 26,510 "," 10,271 "," 18,408 "," 1,571 "
07.02,Tuxtla Gutiérrez," 2,150 "," 1,754 ", 172 ," 65,994 "," 18,372 "," 39,852 "," 1,762 "
08.01,Chihuahua," 4,980 "," 3,696 "," 3,090 "," 100,288 "," 33,350 "," 34,026 "," 1,754 "
08.02,Delicias," 1,374 ", 837 ," 11,493 "," 14,962 "," 6,004 "," 9,656 "," 3,262 "
08.03,Hidalgo del Parral, 700 , 262 , 28 ," 11,259 "," 2,905 "," 5,263 ", 215 
08.04,Juárez," 3,405 "," 2,858 ", 195 ," 99,213 "," 36,966 "," 38,950 "," 1,725 "
09.01,Valle de México," 30,424 "," 17,914 "," 2,797 "," 1,090,935 "," 265,205 "," 559,109 "," 42,575 "
10.01,Durango," 5,256 "," 4,261 ", 218 ," 60,846 "," 17,226 "," 21,085 "," 1,587 "
11.01,Celaya," 4,060 "," 2,062 ", 413 ," 48,741 "," 16,173 "," 34,162 "," 2,856 "
11.02,Guanajuato, 580 , 388 , 47 ," 13,527 "," 3,702 "," 6,439 ", 548 
11.03,León," 5,684 "," 3,388 ", 538 ," 107,739 "," 29,206 "," 62,060 "," 3,200 "
11.04,Moroleón-Uriangato, 345 , 235 , 34 ," 16,733 "," 2,646 "," 6,871 ", 277 
11.05,San Francisco del Rincón, 763 , 420 , 42 ," 11,727 "," 3,983 "," 10,552 "," 1,474 "
12.01,Acapulco," 3,235 "," 2,655 ", 193 ," 89,131 "," 20,378 "," 67,324 "," 2,156 "
12.02,Chilpancingo," 2,084 "," 1,655 ", 113 ," 37,293 "," 7,152 "," 52,311 ", 882 
13.01,Pachuca," 9,475 "," 4,228 ", 422 ," 71,111 "," 34,594 "," 22,271 "," 2,656 "
13.02,Tula," 10,371 "," 6,837 "," 194,489 "," 42,483 "," 35,647 "," 24,169 "," 1,488 "
13.03,Tulancingo," 4,017 "," 2,054 ", 646 ," 35,103 "," 14,661 "," 10,045 "," 1,489 "
14.01,Guadalajara," 15,748 "," 10,890 "," 3,524 "," 349,463 "," 81,781 "," 178,614 "," 9,219 "
14.02,Ocotlán," 1,441 ", 951 , 231 ," 20,017 "," 5,390 "," 17,383 "," 1,219 "
14.03,Puerto Vallarta," 1,621 ", 667 , 101 ," 31,337 "," 7,184 "," 22,969 ", 650 
15.01,Tianguistenco, 712 , 520 , 68 ," 14,043 "," 12,436 "," 14,957 ", 644 
15.02,Toluca," 8,224 "," 6,155 "," 1,164 "," 167,395 "," 124,143 "," 94,724 "," 5,055 "
16.01,La Piedad-Pénjamo," 1,890 "," 1,100 ", 193 ," 24,320 "," 9,623 "," 26,951 "," 2,803 "
16.02,Morelia," 3,141 "," 2,308 ", 555 ," 133,101 "," 27,886 "," 38,991 "," 2,990 "
16.03,Zamora, 703 , 504 , 80 ," 32,154 "," 5,890 "," 14,437 ", 459 
17.01,Cuautla," 5,087 "," 3,407 ", 340 ," 40,903 "," 22,117 "," 39,026 "," 2,595 "
17.02,Cuernavaca," 3,316 "," 2,634 ", 651 ," 92,826 "," 52,104 "," 57,652 "," 2,820 "
18.01,Tepic," 3,612 "," 2,591 ", 287 ," 60,992 "," 11,079 "," 24,895 "," 3,611 "
19.01,Monterrey," 14,157 "," 9,091 "," 11,809 "," 342,779 "," 122,766 "," 157,911 "," 10,595 "
20.01,Oaxaca," 2,021 "," 1,569 ", 107 ," 54,496 "," 12,263 "," 21,588 "," 1,498 "
20.02,Tehuantepec," 2,910 "," 1,921 "," 97,081 "," 10,991 "," 8,827 "," 31,170 ", 461 
21.01,Puebla-Tlaxcala," 13,352 "," 11,203 "," 4,619 "," 207,764 "," 125,683 "," 111,909 "," 5,952 "
21.02,Tehuacán, 694 , 536 , 193 ," 16,947 "," 9,403 "," 10,432 "," 5,013 "
21.03,Teziutlán, 381 , 288 , 38 ," 6,429 "," 3,762 "," 7,911 ", 404 
22.01,Querétaro," 9,962 "," 7,032 "," 2,810 "," 184,319 "," 109,617 "," 81,404 "," 11,028 "
23.01,Cancún," 1,805 "," 1,335 ", 387 ," 77,945 "," 16,549 "," 37,817 ", 815 
23.02,Chetumal," 10,000 "," 5,100 ", 374 ," 46,173 "," 6,706 "," 18,844 "," 1,185 "
24.01,Rioverde," 1,296 "," 1,014 ", 51 ," 18,078 "," 3,492 "," 8,239 ", 658 
24.02,San Luis Potosí," 4,089 "," 3,116 "," 2,023 "," 116,688 "," 27,007 "," 46,234 "," 9,784 "
25.01,Culiacán," 6,851 "," 3,906 "," 1,599 "," 98,762 "," 21,805 "," 71,446 "," 9,249 "
25.02,Mazatlán," 2,459 "," 1,770 "," 33,957 "," 39,469 "," 10,992 "," 30,540 "," 1,414 "
26.01,Guaymas," 1,535 "," 1,008 "," 16,350 "," 13,294 "," 5,894 "," 9,550 "," 1,160 "
26.02,Hermosillo," 10,783 "," 7,712 ", 541 ," 79,053 "," 24,309 "," 32,991 "," 9,097 "
26.03,Nogales, 644 , 515 , 53 ," 21,806 "," 5,960 "," 10,602 ", 317 
27.01,Villahermosa," 5,726 "," 3,774 ", 166 ," 71,537 "," 20,433 "," 37,902 "," 1,585 "
28.01,Ciudad Victoria, 799 , 594 , 886 ," 25,612 "," 6,259 "," 9,998 ", 666 
28.02,Matamoros," 4,210 "," 2,105 ", 138 ," 32,083 "," 7,524 "," 16,400 "," 1,496 "
28.03,Nuevo Laredo, 633 , 497 , 61 ," 22,331 "," 5,530 "," 10,383 ", 489 
28.04,Reynosa," 6,700 "," 3,804 ", 224 ," 79,381 "," 27,694 "," 33,287 "," 2,760 "
28.05,Tampico," 7,012 "," 5,719 "," 26,004 "," 133,507 "," 33,082 "," 40,573 "," 1,857 "
29.01,Tlaxcala-Apizaco," 1,874 "," 1,411 ", 332 ," 41,561 "," 29,200 "," 33,916 "," 1,498 "
30.01,Acayucan, 564 , 443 , 24 ," 6,816 "," 3,562 "," 11,157 "," 1,123 "
30.02,Coatzacoalcos," 2,139 "," 1,634 ", 991 ," 26,585 "," 17,172 "," 22,919 ", 588 
30.03,Córdoba," 2,105 "," 1,487 ", 365 ," 20,050 "," 11,090 "," 30,535 "," 7,498 "
30.04,Minatitlán," 2,139 "," 1,563 "," 16,693 "," 33,382 "," 12,457 "," 27,469 "," 3,092 "
30.05,Orizaba," 2,738 "," 2,087 "," 4,013 "," 27,994 "," 13,107 "," 60,651 "," 3,188 "
30.06,Poza Rica," 2,727 "," 2,151 ", 111 ," 33,499 "," 18,144 "," 32,245 "," 2,021 "
30.07,Veracruz," 2,464 "," 1,924 ", 167 ," 54,258 "," 24,960 "," 35,756 "," 1,458 "
30.08,Xalapa," 2,708 "," 1,984 "," 1,311 "," 41,842 "," 18,722 "," 36,367 "," 1,975 "
31.01,Mérida," 3,399 "," 2,565 "," 2,982 "," 129,217 "," 27,226 "," 63,080 "," 9,805 "
32.01,Zacatecas-Guadalupe," 1,980 "," 1,320 ", 105 ," 36,600 "," 12,739 "," 22,742 ", 940 
Resto del País,Resto del País," 590,008 "," 384,003 "," 482,167 "," 4,399,632 "," 1,834,999 "," 8,681,696 "," 593,118 "
,,,,,,,,
 Notas: ,,,,,,,,
 Cantidades en toneladas anuales. ,,,,,,,,
" Si se muestran espacios vacíos en la posición de cifras, representan valores no reportados o nulos. ",,,,,,,,
" Los resultados incluyen las emisiones de fuentes fijas, fuentes de área, fuentes móviles y fuentes naturales. ",,,,,,,,
 Datos definitivos Inventario Nacional de Emisiones de México de Contaminantes Criterio año base 2018. ,,,,,,,,
